"","MORTG","FEDFUNDS","CPIFABNS","GDP","TB3MS","GS20","SPCS10RSA","SAVINGSL","NONREVNS"
"1994-01-01",7.06,3.05,144.3,7136.259,2.98,6.39,76.056593288975,1223.8,561.3482
"1994-02-01",7.15,3.25,143.6,7136.259,3.25,6.57,76.227973263734,1226.8,562.1488
"1994-03-01",7.68,3.34,143.9,7136.259,3.5,7,76.409260450264,1227,567.476
"1994-04-01",8.32,3.56,144,7269.847,3.68,7.4,76.577138170162,1222.1,572.9748
"1994-05-01",8.6,4.01,144.1,7269.847,4.14,7.54,76.692584773991,1222.6,579.7993
"1994-06-01",8.4,4.25,144.2,7269.847,4.14,7.51,76.77214959811,1212.3,587.333
"1994-07-01",8.61,4.26,144.8,7352.255,4.33,7.67,76.865204671052,1207.6,589.162
"1994-08-01",8.51,4.47,145.3,7352.255,4.48,7.62,76.940706624191,1199.7,598.788
"1994-09-01",8.64,4.73,145.6,7352.255,4.62,7.87,76.970024948663,1191.6,611.328
"1994-10-01",8.93,4.76,145.6,7476.661,4.95,8.08,77.0987000921,1179.6,619.4992
"1994-11-01",9.17,5.29,145.9,7476.661,5.29,8.2,77.1338106451,1167.2,621.3077
"1994-12-01",9.2,5.45,147.2,7476.661,5.6,7.99,77.212223037,1151.3,637.9815
"1995-01-01",9.15,5.53,147.9,7545.296,5.71,7.97,77.202510140091,1136.9,639.9564
"1995-02-01",8.83,5.92,147.8,7545.296,5.77,7.73,77.278940611698,1119.4,636.3146
"1995-03-01",8.46,5.98,147.9,7545.296,5.73,7.57,77.056324824417,1100.2,642.973
"1995-04-01",8.32,6.05,148.9,7604.923,5.65,7.45,76.884493258861,1085.7,650.3004
"1995-05-01",7.96,6.01,148.7,7604.923,5.67,7.01,76.772441134235,1091.6,654.5547
"1995-06-01",7.57,6,148.4,7604.923,5.47,6.59,76.661995329114,1098.9,661.3723
"1995-07-01",7.61,5.85,148.6,7706.531,5.42,6.74,76.702623688351,1098.4,667.0277
"1995-08-01",7.86,5.74,148.9,7706.531,5.4,6.92,76.748755609963,1105.7,674.4568
"1995-09-01",7.64,5.8,149.4,7706.531,5.28,6.65,76.823236612151,1113,682.5087
"1995-10-01",7.48,5.76,149.8,7799.493,5.28,6.45,76.859018150247,1122.5,684.8612
"1995-11-01",7.38,5.8,149.8,7799.493,5.36,6.33,76.877842895459,1125,698.401
"1995-12-01",7.2,5.6,150.3,7799.493,5.14,6.12,76.918109382619,1135.9,703.2123
"1996-01-01",7.03,5.56,151.4,7893.146,5,6.11,76.988221979665,1152,702.7641
"1996-02-01",7.08,5.22,151.3,7893.146,4.83,6.3,77.117160745646,1163.7,702.3352
"1996-03-01",7.62,5.31,152.1,7893.146,4.96,6.74,77.166518919616,1176.4,706.0199
"1996-04-01",7.93,5.22,152.7,8061.535,4.95,6.98,77.338429964531,1182.8,711.6397
"1996-05-01",8.07,5.24,152.5,8061.535,5.02,7.11,77.47155731422,1197.1,715.0613
"1996-06-01",8.32,5.27,153.1,8061.535,5.09,7.22,77.468786164765,1205.8,724.8506
"1996-07-01",8.25,5.4,153.6,8159.043,5.15,7.14,77.508665754016,1215.1,732.091
"1996-08-01",8,5.22,154.2,8159.043,5.05,6.97,77.607997544598,1227.2,741.0364
"1996-09-01",8.23,5.3,155,8159.043,5.09,7.17,77.746789651141,1235.8,745.1163
"1996-10-01",7.92,5.24,155.8,8287.078,4.99,6.9,77.951595149279,1250.6,746.1396
"1996-11-01",7.62,5.31,156.2,8287.078,5.03,6.58,78.183797613854,1263.1,747.642
