obs,mortg,fedfunds,cpifabns,gdp,tb3ms,gs20,spcs10rsa,savingsl,nonrevns
1994M01,7.06,3.05,144.3,7136.26,2.98,6.39,76.0566,1223.8,561.348
1994M02,7.15,3.25,143.6,7136.26,3.25,6.57,76.228,1226.8,562.149
1994M03,7.68,3.34,143.9,7136.26,3.5,7,76.4093,1227,567.476
1994M04,8.32,3.56,144,7269.85,3.68,7.4,76.5771,1222.1,572.975
1994M05,8.6,4.01,144.1,7269.85,4.14,7.54,76.6926,1222.6,579.799
1994M06,8.4,4.25,144.2,7269.85,4.14,7.51,76.7721,1212.3,587.333
1994M07,8.61,4.26,144.8,7352.25,4.33,7.67,76.8652,1207.6,589.162
1994M08,8.51,4.47,145.3,7352.25,4.48,7.62,76.9407,1199.7,598.788
1994M09,8.64,4.73,145.6,7352.25,4.62,7.87,76.97,1191.6,611.328
1994M10,8.93,4.76,145.6,7476.66,4.95,8.08,77.0987,1179.6,619.499
1994M11,9.17,5.29,145.9,7476.66,5.29,8.2,77.1338,1167.2,621.308
1994M12,9.2,5.45,147.2,7476.66,5.6,7.99,77.2122,1151.3,637.982
1995M01,9.15,5.53,147.9,7545.3,5.71,7.97,77.2025,1136.9,639.956
1995M02,8.83,5.92,147.8,7545.3,5.77,7.73,77.2789,1119.4,636.315
1995M03,8.46,5.98,147.9,7545.3,5.73,7.57,77.0563,1100.2,642.973
1995M04,8.32,6.05,148.9,7604.92,5.65,7.45,76.8845,1085.7,650.3
1995M05,7.96,6.01,148.7,7604.92,5.67,7.01,76.7724,1091.6,654.555
1995M06,7.57,6,148.4,7604.92,5.47,6.59,76.662,1098.9,661.372
1995M07,7.61,5.85,148.6,7706.53,5.42,6.74,76.7026,1098.4,667.028
1995M08,7.86,5.74,148.9,7706.53,5.4,6.92,76.7488,1105.7,674.457
1995M09,7.64,5.8,149.4,7706.53,5.28,6.65,76.8232,1113,682.509
1995M10,7.48,5.76,149.8,7799.49,5.28,6.45,76.859,1122.5,684.861
1995M11,7.38,5.8,149.8,7799.49,5.36,6.33,76.8778,1125,698.401
1995M12,7.2,5.6,150.3,7799.49,5.14,6.12,76.9181,1135.9,703.212
1996M01,7.03,5.56,151.4,7893.15,5,6.11,76.9882,1152,702.764
1996M02,7.08,5.22,151.3,7893.15,4.83,6.3,77.1172,1163.7,702.335
1996M03,7.62,5.31,152.1,7893.15,4.96,6.74,77.1665,1176.4,706.02
1996M04,7.93,5.22,152.7,8061.54,4.95,6.98,77.3384,1182.8,711.64
1996M05,8.07,5.24,152.5,8061.54,5.02,7.11,77.4716,1197.1,715.061
1996M06,8.32,5.27,153.1,8061.54,5.09,7.22,77.4688,1205.8,724.851
1996M07,8.25,5.4,153.6,8159.04,5.15,7.14,77.5087,1215.1,732.091
1996M08,8,5.22,154.2,8159.04,5.05,6.97,77.608,1227.2,741.036
1996M09,8.23,5.3,155,8159.04,5.09,7.17,77.7468,1235.8,745.116
1996M10,7.92,5.24,155.8,8287.08,4.99,6.9,77.9516,1250.6,746.14
1996M11,7.62,5.31,156.2,8287.08,5.03,6.58,78.1838,1263.1,747.642
1996M12,7.6,5.29,156.6,8287.08,4.91,6.65,78.3799,1274.8,749.461
1997M01,7.82,5.25,156.9,8402.06,5.03,6.91,78.5705,1283.2,749.06
1997M02,7.65,5.19,156.9,8402.06,5.01,6.77,78.7227,1291.2,746.216
1997M03,7.9,5.39,157.1,8402.06,5.14,7.05,78.9902,1304.1,748.476
1997M04,8.14,5.51,157.1,8551.94,5.16,7.2,79.2481,1316.6,757.29
1997M05,7.94,5.5,157.1,8551.94,5.05,7.02,79.5259,1324.1,758.75
1997M06,7.69,5.56,157.1,8551.94,4.93,6.84,79.9069,1330.8,764.116
1997M07,7.5,5.52,157.5,8691.76,5.05,6.56,80.2182,1337.2,766.625
1997M08,7.48,5.54,158.1,8691.76,5.14,6.65,80.6092,1346.2,773.651
1997M09,7.43,5.54,158.4,8691.76,4.95,6.56,80.9108,1362,778.109
1997M10,7.29,5.5,158.7,8788.32,4.97,6.38,81.4153,1377.1,782.33
1997M11,7.21,5.52,158.9,8788.32,5.14,6.2,81.9575,1387.1,781.036
1997M12,7.1,5.5,159.1,8788.32,5.16,6.07,82.5915,1401.2,788.632
1998M01,6.99,5.56,160.3,8889.73,5.04,5.88,83.263,1414.3,785.602
1998M02,7.04,5.51,159.8,8889.73,5.09,5.96,83.9675,1431.7,783.58
1998M03,7.13,5.49,160.1,8889.73,5.03,6.01,84.6241,1447.3,788.576
1998M04,7.14,5.45,160.2,8994.74,4.95,6,85.1852,1464.4,793.754
1998M05,7.14,5.49,160.7,8994.74,5,6.01,85.8567,1476.8,796.925
1998M06,7,5.56,160.6,8994.74,4.98,5.8,86.6289,1490.8,807.855
1998M07,6.95,5.54,160.9,9146.52,4.96,5.78,87.4301,1509,817.433
1998M08,6.92,5.55,161.4,9146.52,4.9,5.66,88.1429,1523.1,825.141
1998M09,6.72,5.51,161.5,9146.52,4.61,5.38,88.8512,1539.2,833.62
1998M10,6.71,5.07,162.4,9325.65,3.96,5.3,89.3454,1559.4,837.773
1998M11,6.87,4.83,162.5,9325.65,4.41,5.48,89.732,1580.7,841.689
1998M12,6.72,4.68,162.7,9325.65,4.39,5.36,90.1377,1603.6,843.612
1999M01,6.79,4.63,163.9,9447.1,4.34,5.45,90.7101,1622.7,851.627
1999M02,6.81,4.76,163.8,9447.1,4.44,5.66,91.4356,1639.3,855.126
1999M03,7.04,4.81,163.7,9447.1,4.44,5.87,92.1333,1648.5,863.062
1999M04,6.92,4.74,163.9,9557,4.29,5.82,93.0513,1665.8,865.416
1999M05,7.15,4.74,164.2,9557,4.5,6.08,93.7541,1684.4,874.215
1999M06,7.55,4.76,164.1,9557,4.57,6.36,94.6483,1702,878.571
1999M07,7.63,4.99,164.2,9712.28,4.55,6.28,95.5023,1721.6,887.243
1999M08,7.94,5.07,164.7,9712.28,4.72,6.43,96.3797,1729.9,902.091
1999M09,7.82,5.22,165.1,9712.28,4.68,6.5,97.1964,1737.5,907.765
1999M10,7.85,5.2,165.5,9926.1,4.86,6.66,97.9753,1743.8,913.144
1999M11,7.74,5.42,165.7,9926.1,5.07,6.48,98.8936,1741.9,919.96
1999M12,7.91,5.3,165.9,9926.1,5.2,6.69,99.8661,1740.2,926.155
2000M01,8.21,5.45,166.6,10031,5.32,6.86,100.745,1741.6,931.435
2000M02,8.33,5.73,166.8,10031,5.55,6.54,101.893,1751.4,932.243
2000M03,8.24,5.85,167.1,10031,5.69,6.38,103.154,1761.6,936.953
2000M04,8.15,6.02,167.2,10278.3,5.66,6.18,104.531,1779.5,940.206
2000M05,8.52,6.27,167.8,10278.3,5.79,6.55,106.012,1776.8,946.915
2000M06,8.29,6.53,167.9,10278.3,5.69,6.28,107.336,1786.4,964.822
2000M07,8.15,6.54,168.7,10357.4,5.96,6.2,108.171,1800.1,978.124
2000M08,8.03,6.5,169.2,10357.4,6.09,6.02,109.068,1813.4,996.336
2000M09,7.91,6.52,169.4,10357.4,6,6.09,110.027,1834.1,1009.16
2000M10,7.8,6.51,169.6,10472.3,6.11,6.04,111.172,1841.5,1020.17
2000M11,7.75,6.51,169.5,10472.3,6.17,5.98,112.502,1850.7,1029.8
2000M12,7.38,6.4,170.5,10472.3,5.77,5.64,113.931,1879.6,1039.02
2001M01,7.03,5.98,171.4,10508.1,5.15,5.65,115.43,1899.4,1050.95
2001M02,7.05,5.49,171.8,10508.1,4.88,5.62,116.691,1930.1,1050.06
2001M03,6.95,5.31,172.2,10508.1,4.42,5.49,117.725,1968.6,1055.55
2001M04,7.08,4.8,172.4,10638.4,3.87,5.78,118.5,2007.6,1062.27
2001M05,7.15,4.21,172.9,10638.4,3.62,5.92,118.953,2029.3,1068.29
2001M06,7.16,3.97,173.4,10638.4,3.49,5.82,119.502,2066.4,1075.22
2001M07,7.13,3.77,174,10639.5,3.51,5.75,120.102,2090,1084.75
2001M08,6.95,3.65,174.4,10639.5,3.36,5.58,120.954,2126.2,1100.48
2001M09,6.82,3.07,174.6,10639.5,2.64,5.53,121.952,2177.1,1109.32
2001M10,6.62,2.49,175.3,10701.3,2.16,5.34,122.81,2207.1,1128.21
2001M11,6.66,2.09,175.2,10701.3,1.87,5.33,123.623,2257.9,1146.76
2001M12,7.07,1.82,175.2,10701.3,1.69,5.76,124.019,2311.5,1156.73
2002M01,7,1.73,176.2,10834.4,1.65,5.69,124.827,2349.8,1161.35
2002M02,6.89,1.74,176.4,10834.4,1.72,5.61,125.759,2397.2,1166.37
2002M03,7.01,1.73,176.6,10834.4,1.79,5.93,127.035,2430,1172.05
2002M04,6.99,1.75,176.7,10934.8,1.71,5.85,128.54,2453.8,1174.86
2002M05,6.81,1.75,176.4,10934.8,1.73,5.81,130.34,2491.1,1182.39
2002M06,6.65,1.75,176.4,10934.8,1.7,5.65,132.217,2520,1188.43
2002M07,6.49,1.73,176.6,11037.1,1.68,5.51,134.098,2551,1197.65
2002M08,6.29,1.74,176.6,11037.1,1.62,5.19,135.955,2614.8,1208.19
2002M09,6.09,1.75,176.9,11037.1,1.63,4.87,137.607,2650.3,1210.21
2002M10,6.11,1.75,177.1,11103.8,1.58,5,139.368,2694.9,1213.58
2002M11,6.07,1.34,177.4,11103.8,1.23,5.04,141.007,2745.2,1217.1
2002M12,6.05,1.24,177.8,11103.8,1.19,5.01,142.565,2771,1224.88
2003M01,5.92,1.24,178.1,11230.1,1.17,5.02,143.862,2811.2,1237.11
2003M02,5.84,1.26,178.9,11230.1,1.17,4.87,145.041,2846.3,1234.11
2003M03,5.75,1.25,179.2,11230.1,1.13,4.82,146.136,2876.5,1238.48
2003M04,5.81,1.26,179,11370.7,1.13,4.91,147.14,2912.3,1248.79
